# g1-key	source	seed64	light	light-model	dark	dark-model	winner	reason	max-plies
g1_zU0mr6nYgziwg8HP_rdiZC7otyfk4vCmVmuDd1kBvuk	s1_9xUUSDthVm48E6xzpN4HMN5LwjcMJ_4pqpb_0fbwL-4	1unNv2	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_zU0mr6nYgziwg8HP_rdiZC7otyfk4vCmVmuDd1kBvuk	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unNv2	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	-
g1_zU0mr6nYgziwg8HP_rdiZC7otyfk4vCmVmuDd1kBvuk	s1_XGc_wzCJQwSvCT96J0eRfNhUaGQW9IkAjLh431PMk1w	1unNv2	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_zU0mr6nYgziwg8HP_rdiZC7otyfk4vCmVmuDd1kBvuk	s1_vo8v1Ye-6necigXDuf1L2pZQwOa9ntBgBNOOqyrR7aQ	1unNv2	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_zU2ZmZCdZHBI9nsIo5qsy84_-K2YpWiUtyvPtfAKSCI	s1__fmnSv6OnZklVvMPUjPdL6drtvfrJptRYX3nxZQO8jI	1umxy9	python-gnn-puct-scout-v0.1.0	sha256:b9f80706cc1f29076ee06fe06483697c749148a808c599579045d00a52573938	python-gnn-puct-scout-v0.1.0	sha256:b9f80706cc1f29076ee06fe06483697c749148a808c599579045d00a52573938	D	P	196
g1_zUIkYrC2kjw9PIjPRlj-5OFG1SORLW7lV1QLVnHaRqQ	s1_2FtaP75xgRVTNrUvmC0NIesJCNy8IDFJ05WNM4nUnpg	1unQsQ	qadv-arbiter-7x7-v0.1.0	-	pathfinder-v0.3.0	-	D	P	196
g1_zUIkYrC2kjw9PIjPRlj-5OFG1SORLW7lV1QLVnHaRqQ	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unQsQ	qadv-arbiter-7x7-v0.1.0	-	pathfinder-v0.3.0	-	D	P	-
g1_zUIkYrC2kjw9PIjPRlj-5OFG1SORLW7lV1QLVnHaRqQ	s1_aZk8F6XcZqal6Wm-yxVaWrevSMKGwEwA47YlTlW1q1k	1unQsQ	qadv-arbiter-7x7-v0.1.0	-	pathfinder-v0.3.0	-	D	P	196
g1_zUIkYrC2kjw9PIjPRlj-5OFG1SORLW7lV1QLVnHaRqQ	s1_fXS0pu6YxldZ_p4gfapMp2EHfw_jsMpDZJ0tjqI2PsE	1unQsQ	qadv-arbiter-7x7-v0.1.0	-	pathfinder-v0.3.0	-	D	P	196
g1_zUMAxgLDb32Yc1Oz1OB3WeR_ut_IFw0DAempuuRMVXE	s1_CXU7owFNsl3wQ0piOS-Xkp1a9tZMK2YEphBULG23X30	1unMN9	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
