# g1-key	rules	size	reserve	repetition	plies	2-char-actions
g1_t-6zvCxk_u8lgANWZQUS9qoFmC_rKyBDIuymzfiQCas	pathagon-rules-v1	7	14	3	20	0M0F0b0T0E0i0M0Z0g0S0a0h0U0T0j0a0k0O0V0c
g1_t-MHn6MhrADBxl1M-9mhQKWKOsiJ-7FNSrrLWdcUk-o	pathagon-rules-v1	7	14	3	20	0O0X0b0h0V0i0W0d0c0P0k0j0l0W0U0e0g0Y0N0L
g1_t09NdwoSxUbBlRxOI-nvPDrgWiBZ8o7feNYbhseUFMA	pathagon-rules-v1	7	14	3	20	0P0D0i0j0k0C04090I08050j0J0A03070H0C0l00
g1_t0TCkQsQemODQl9Vxn-ysjZxoKRhAIiGgZECOr0ocRc	pathagon-rules-v1	7	14	3	20	0l0g0Z0807000C0X0e0R0Y0K0d0406050201030H
g1_t0jbNCYj17-2DysF485eTaY-3_Cvi8_i8KCfKqiuf_Q	pathagon-rules-v1	7	14	3	20	0m030G0l06020C0X0f0Q0Y0K0R0D0B040I0J050H
g1_t0l_m4wLXUMq9bM4Xi0Vut-Fq-Xz616B1KK_MgQ1Euc	pathagon-rules-v1	7	14	3	20	030N0S050L040M0F0g07000E08060Z0O0A0F0H02
g1_t0tpdDuqbmewEvbHRjUjjBthEFISQyOa3H7HuzKNnEA	pathagon-rules-v1	7	14	3	20	0Q0m0g0J0K0R0Y0d0Z0R0P07000E0W0X0V0B0I0H
g1_t17rcZqY-wLZNNtV-3ytWdy8SzhXksZQh7-b2FPPV0U	pathagon-rules-v1	7	14	3	20	0J020d0l040k0m0K0B03050A0C0X0Q0I0H0R0P0O
g1_t18Vx8BQExpby5GO0t77iJlfkx3LHz5msdH4cCvZDck	pathagon-rules-v1	7	14	3	20	0Y020J0C060K0I0Q0R0D0J030k0405080700010E
g1_t1A8eweLLGVlcgJxswZEvhQ1v8JNElJEyd7T_UfcYsA	pathagon-rules-v1	7	14	3	20	0B0N060d0D0e0l0X0G0Y0R0c0f0Z0Y0K0C0m0k0W
g1_t1MWvK86Ikj6Y2xkR4effX04cMgPW__wpvEd9Cku0ww	pathagon-rules-v1	7	14	3	20	0F0S0O0f0a0h0g0Z0V0U0T0i030j0k0l0Y0m0k0W
g1_t1OpnyLyKiPdB94Ds5G_WAS1jguMc9zm0rAPYlXaa2c	pathagon-rules-v1	7	14	3	20	0F0a0f0h0g0m0Z0E0L0S0G0L0i0T0N0M0O0c0V0U
g1_t1_q9tcmxkfWc0KNm-taBZpT6ldbFQm5_o0g7DkOdOI	pathagon-rules-v1	7	14	3	20	0C000F0E0506040N0J0D0Q0K0B0I0G0J0k0O0P09
g1_t1dmC3hk-yTSwkusPmPWYTu99PYGC0H92twMvrAoJ34	pathagon-rules-v1	7	14	3	20	0V0H0703000M0E0N0L0a0T0O0b0U0S0h0i0g0j0c
g1_t1kyRUvvql4cqG1FXeHER3vNP5lO32DyJi-OIaMMHJ8	pathagon-rules-v1	7	14	3	20	0T060G0W09020i01000U0N0H0I0A0b0H0F08070M
g1_t1yfqn1fcLDnNZ3x9CER0g3nsM3uCvB_OfwQN3L4ORI	pathagon-rules-v1	7	14	3	20	0m0a080G0U0N0h01000K070H0T0g0a0Z0b0F0E0i
g1_t2-OeqF9GZwx3lDY9zbybr1rtx8njhrDrU2yL44fpHU	pathagon-rules-v1	7	14	3	20	0c0J0R0U050j0m0D0C0B0K06040I0C0A0Q0S0J0T
g1_t2-WFIxtxJFPhYSL0YRHaBSiVvbGzx_uudq-tX9W6sY	pathagon-rules-v1	7	14	3	20	0602080Z0e070X0Y0W0A0D0P0l0d0C0f0W0e0J0a
g1_t2bFrWev7jPBFlpJS8Cuc0Hq9RKTbe5KhWWgfQiSn_E	pathagon-rules-v1	7	14	3	20	0i0J0e0m0G0l0b0F090h0j0a0H0A0302040A0B0Z
g1_t2vu_VVPb2-MQP3Z2S7tpV3NraQw50DxnNNLS8YO72w	pathagon-rules-v1	7	14	3	20	0a0I0R0b0c0U0V0b0W0J0Q0C060Y0D0P0K0d0f0l
g1_t3YTAD5wkUIC6RQab6pqS9eh7TPmSrRldPE8gSZ3Uuo	pathagon-rules-v1	7	14	3	20	040T0G010S0U0M0a0Z0g0b020i0h0j03000a0N0V
g1_t3denA3qnLSTGiL5hv1JgjtkvKNHdp24P1Y0ObdWRAw	pathagon-rules-v1	7	14	3	20	0V0W0Z0K0U0G0O0N0M090H0N0b0F080I0P0A0H03
g1_t4KT5wNsWlm891E3JyJjOVEGIglg4k1zh1VfZSKXzPQ	pathagon-rules-v1	7	14	3	20	02030B0E040H0I03090A0J06010F0Q0R0P0N0G05
g1_t4LQzbRP3LTseMC9rkbXYRgD-nTSZ_7uCaBRxD0orww	pathagon-rules-v1	7	14	3	20	060c000D0j0V0U0k0i0W0Y0b0Z0g0h0S0a0Z010m
