# g1-key	rules	size	reserve	repetition	plies	2-char-actions
g1_l-1rQKjBrC9vgqFiWlVLI6LMCKxCOR5hqbqM6sJlAhs	pathagon-rules-v1	7	14	3	29	0h0i0G05020Y0N0K0F09040f0S0m0T0D0O0E0X0Q0a0Z0b0P0M0k080d2K
g1_l-4HykObb-PxnhVSULHGzpACoxqn5BfMN_-W_cl1bis	pathagon-rules-v1	7	14	3	37	0l0j0h0405080V0T0Q0A0Z0b0e0R0X00070I0c0g0E0M0m0W0i0F0f0HS6DqQM0k6Z2n0CEgBi
g1_l-DKn2cp4HRISokaLm0pq15BSOBcSDV4veDsF4iQfa0	pathagon-rules-v1	7	14	3	34	0a080G0Y0P0e0Z0H0m0B090g040c000f0O0Q0L0V0C060N0S0b0h0l0i0JMg0U7W0I0j
g1_l-Fux9Z8-MW1cs9uDpA7-fczank9kh11JhSskkNitPI	pathagon-rules-v1	7	14	3	79	0D0C0f0I0V0O0E0d0N09070X0c0Y060F0m0L0h0W050G0A030P0S0K01P40OGR2AIp0U97F802Mlbu0kY6VJKCCi5OPb08abL8Vy0kOF2k065A0YJ20FM7UL0OTHBBMo0S0KZ00La90H0NPm0cOV0UAG090k6O
g1_l-NwMOqR_Smc4jcbQZDbMoW4EoMjmwbWsL8q_oHSUH0	pathagon-rules-v1	7	14	3	50	050O0H0W0R0i0A060T090d0Z0a0F0C0P0G0h0D0b0V0c0a0O080N090U0V0k0U0j0d0O0Y03RI0N070O0SPxE5TOLo0XV60lHu0m
g1_l-QWt7B_2RKFz0C0w5pU2QhcYgaWFBthyGj6Ra6SscY	pathagon-rules-v1	7	14	3	91	0T0Y0N0d060C0W0A0X0e0b0G0R0h0a050B0m0I030c0L0M0Z000H0J0S5OVTQHcEIiE90URr1m8TON06Em0l9p5nVo0U0k4FLYMb0BDW0Pay0I3N0X4u9d0l04O90kJ005Jg0NAZ0UF00MUL0ZZdae0mLu0jTmL0Iy0WBcb70QFgL80BWWQK3z
g1_l-d1dd3rOQTiVo_QDk8_kQJM4xwaA3moG5v1tvb4Cd8	pathagon-rules-v1	7	14	3	23	0S0g0Z0L0E070L000T0M0F0a0h0M0a08010F0G0N0F0U08
g1_l-flpe2_I9AsL15uzativdpBFQpJy9ng4KmVhQTOJpw	pathagon-rules-v1	7	14	3	69	0e0Y0O0S000U0D050b0f0I070i0k0a0W0d020g0T0B0A0C0R0X010h0lSi0MXxPXYk0PQLNCEtavEO5LFqa2IUWjViM0UzRQ0Y3C0TSmUH0jNi2i0cBs0QZS0e0LWz0URKOS0mKe1Q
g1_l-nDQ0dcRb0ThrU2B8dH7ykEcUdDx8ImD6l5en-gyeo	pathagon-rules-v1	7	14	3	28	0X0J0E07000L0S07080g0h0C010i0F090L080A0304020G050B040D06
g1_l-q9SeluhALjEMfmqxYgb3jTNHHGtWZ-XokOphrxv_w	pathagon-rules-v1	7	14	3	24	0Q0S0J0X0e0f0X0d0m0e0l0W0e0Y0U0X0b0c0i0T0N0V0G0U
g1_l0-lgRlAIE79shN-P9zOlDwx1_RDIYSxDLb0NFGlCMo	pathagon-rules-v1	7	14	3	51	0M0N0E0T0F06000U0i0b0C040f050a0J0T0H0C0G0h0L0S0I0R0c0B0W0M0Z0L0a0V0O01E6LfJ0I00Q0R0M0l5MM60jCOD81K5NWP
g1_l051hTaqeC6_wU3ro_SbclhaN5B5n8GLKeqzHmY9ebA	pathagon-rules-v1	7	14	3	54	070801000209030A0G0H090F080G0E040M0N0F0O050L040M0B0I0A0P0C0J0Q06L70J6T071_01MZ0QHI0L0U0M0E0VAI26011E0C5wMD0R
g1_l06XS9M7NmZHJ-GTBt2az88oYSa8zyd7_3rnQZ5KFAc	pathagon-rules-v1	7	14	3	35	020G0E07000i0g0L0S04070a0Z0L0M0N0b0M030F05010U0T0V0a0c08090OMU0A2l020L
g1_l096sLTIIeq4iOu4o-EVBxzeU_orXXZ12tpnjbXOcLE	pathagon-rules-v1	7	14	3	82	0Y0A0X0m020f0R0E0Z0M0L0S040g0P0H0C0k0J0h0D0U07080c010O0N0QaV0Z1nTtEMAI06LJ0K0BPIQn5d9hIq0N0j6UY90BXD03Nz0JCS0QZk090i0y0D3b0UOn0k0cAu0gBY0EAa0V3f0W1x02aV00O101Pt0j7X
g1_l0LRbvlqUcyjP90ctwnWlcQzhabFLQZ5yZ6Oba1F9z4	pathagon-rules-v1	7	14	3	38	0l0M000O0H0T0m0k020a0b0I010P0S0j0Z0N0a0E0f0K0U0J0V0T0C0Q110LE907WF0F1z0O0AZb
g1_l0T5FhC9TYnipIaCWY1oB2eJhwIKM4plRPqut4CYxYk	pathagon-rules-v1	7	14	3	50	0Y0B0k0S0F0J040E0C0M02070L0b0R0D0O0I0j0K0G0e03010Z0c0d0S0l0i000mD2Ms2z9XaMWdRcVoM46Y2TYzVu0e1KF109BD
g1_l0ToFOMpUvUVQ7BPa62WI26m75GdYz-GkeRL_9o3xtQ	pathagon-rules-v1	7	14	3	91	0X0f040c0B0g0A0Z090i020Q0D0E000b0a06080h0U0M0T0S0I0l0K0F1PUbQPYs2cHu7Q019dCl3ratORXhFgTiGKMw035g0iZU05CC0KDq0lSB0YFyQiUL06a30WYQ0cKR0I4Q0hP30OOJGX0H8-QeY32n03DW09SjEo6AA-WE08DvDF0I4j
g1_l0XR37sic49fMaDDwKxqB3eXL3-69pzkd4Fq7ZXrenw	pathagon-rules-v1	7	14	3	93	0R0Q0K0J0I0P0J0H0O0C0D0J0B0I0C0A0N0G090X0A0G0H0W0Y0V0U0b0c0d0V0c0e0f060e5S06Ao0D4f5P05Aq4pWF090CQq0G025N1e0HAp0o5N0D2KAm0D094i2OAm7t5v4iLXAw42040R5S0B3xAo4p395Q0CAq4p39035Z0t0A058R2BVQ33
g1_l0oM6I3J3QiRVrT9gdkpVay319VNrMVdpHvF-yFNn84	pathagon-rules-v1	7	14	3	59	0T0F0V0N0l030G000g020k0S0A0a0P0H0C0c090e0Y0U0Q0h0Z0M0j0m0I040i0E0hEDZK42KZSeat1MXyFUAH0COv0XG9NmKs0V880O5i0KDO0JRJ0E6l
g1_l0oqlnAr5zwEv3WinlgBEUOUVIK_Ow0rBn86vtiv5vs	pathagon-rules-v1	7	14	3	196	0g0C0J0D0H0K0G0O0N0I0P0J0O0B0A0Q0R090Q0A0M0F080U0F0V0W0X0Y0Q0W0T0X0605040305Wz0A353r2M041a0o34092K5P0q0A1a013A4f051a5O34092K4e0q051a4d3403013A3wQt0A5S0t3u040A5S033x384f8W5N3x384f2O5P1e350q2J3t1c350q2J3t1c354f2O3t0A0o4c5S6z3A0q1Y3s04360q1Y3s04360q4c3w1c085S030tLT0R363u1c012M1a3s00364f1c052M0o3t4c385S2M1a3s04360q1e4d05365Q064g5S3A033w385Q0Y4g1d3A033w385Q064g2J395O3x0p4f1c052M5P3s04363u1c012M
g1_l0yFdhnsbIuhcEhsbEFMEAU2SHzO_guNkYkpenCyLZ0	pathagon-rules-v1	7	14	3	82	0X0T0F0f0Y030H0b000U0B0Q0m0I0E0S0d010W09040M0h0K0D0A0Z07Pa0O080f9v0kB-aH0iJnBKNU0CH_UG0c0N0LIo8cRY0JbZ0mZO06ax0kA60YYh012Q0iCz0lLA0QQT0IK70CSAFA0PAT0QHN0Mb40iaS0e21
