# g1-key	source	seed64	light	light-model	dark	dark-model	winner	reason	max-plies
g1_T-8W_aXS0p9R2V8t7a0gmYUQPBArCPjEzAvyIP33EXs	s1_WVg7aYYLIrw6_-2mI3jQ-DPcLO4gX2sPEEqWQb0DGQA	1umxRn	python-cnn-puct-reval30k-v0.1.0	sha256:eb2600a53e225a835455efdb2759c40e27c5cb3c16ab0688bc21b99290ed10ee	python-cnn-puct-reval30k-v0.1.0	sha256:eb2600a53e225a835455efdb2759c40e27c5cb3c16ab0688bc21b99290ed10ee	D	P	196
g1_T-CM-_Dg6ST4wz5Xaynqq7UM4x0Yg2LsgBYnrTWFDeg	s1_2F8JjSf-tV9QCxxO44-a_ub3F4wBmiLFjWxvOt_w3SA	1unR0x	lunatic-v0.1.0	-	qadv-arbiter-7x7-v0.1.0	-	L	P	196
g1_T-CM-_Dg6ST4wz5Xaynqq7UM4x0Yg2LsgBYnrTWFDeg	s1_2FtaP75xgRVTNrUvmC0NIesJCNy8IDFJ05WNM4nUnpg	1unR0x	lunatic-v0.1.0	-	qadv-arbiter-7x7-v0.1.0	-	L	P	196
g1_T-CM-_Dg6ST4wz5Xaynqq7UM4x0Yg2LsgBYnrTWFDeg	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unR0x	lunatic-v0.1.0	-	qadv-arbiter-7x7-v0.1.0	-	L	P	-
g1_T-CM-_Dg6ST4wz5Xaynqq7UM4x0Yg2LsgBYnrTWFDeg	s1_e9HxcVCcr66jMWhr0YCKDlPytlJjLBoVTSXM4U_Nwfo	1unR0x	lunatic-v0.1.0	-	qadv-arbiter-7x7-v0.1.0	-	L	P	196
g1_T-CM-_Dg6ST4wz5Xaynqq7UM4x0Yg2LsgBYnrTWFDeg	s1_hiODhWcmVdiRwSomOnBeczv9UKsBjpij2hq7PhhXWAY	1unR0x	lunatic-v0.1.0	-	qadv-arbiter-7x7-v0.1.0	-	L	P	196
g1_T-CMdV4W7cqzdH2cIosqtLW-UGyHz7t7g4raWBnDIjU	s1_PHOCm_67PwCLiy0i6Wc2HCo1Wppu557dEi1ahtPtGYc	1unQ2B	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_T-CMdV4W7cqzdH2cIosqtLW-UGyHz7t7g4raWBnDIjU	s1_ml5xV_701oNc91fntXM__a0C24ra0SDA6ySDZLHQv9E	1unQ2B	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_T-CMdV4W7cqzdH2cIosqtLW-UGyHz7t7g4raWBnDIjU	s1_zpfBLnJ-usMjCoL62geLo7uhcDSeueNZZWaRh5oEewk	1unQ2B	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_T-Du-7rgilkudS8wEq-lfFQr92Z5OpDNvlu9OeWKppA	s1_1av6nXQkq-GSHXfjkVlGHGpAq8F9UbW4JwZmyFA-vww	1DIZM	rust-pathfinder-v0.1.0	-	lunatic-v0.1.0	-	L	P	-
g1_T-Du-7rgilkudS8wEq-lfFQr92Z5OpDNvlu9OeWKppA	s1_9Eroywf7tuDrn-hcfZPjlEa1DSRUykCRn9Z11u8ySIo	1DIZM	rust-pathfinder-v0.1.0	-	lunatic-v0.1.0	-	L	P	-
g1_T-Du-7rgilkudS8wEq-lfFQr92Z5OpDNvlu9OeWKppA	s1_Brk0hkuJoH-MBjdd53AO5tlWcOgDWV_R0PO74fHGd_0	1DIZM	rust-pathfinder-v0.1.0	-	lunatic-v0.1.0	-	L	P	-
g1_T-Du-7rgilkudS8wEq-lfFQr92Z5OpDNvlu9OeWKppA	s1_KmF8KhDbubz6lwdS8R_n_yTGdSONmH9B1wUABbyCj94	1DIZM	rust-pathfinder-v0.1.0	-	lunatic-v0.1.0	-	L	P	-
g1_T-Du-7rgilkudS8wEq-lfFQr92Z5OpDNvlu9OeWKppA	s1_MKrI0a3Qd48rU7oZj28GrlQ3cHhIbUzS5ibiIW9aKy4	1DIZM	rust-pathfinder-v0.1.0	-	lunatic-v0.1.0	-	L	P	-
g1_T-Du-7rgilkudS8wEq-lfFQr92Z5OpDNvlu9OeWKppA	s1_XloMUS0hxYEXf762lcPfaudsLmsH-CsOVZNVVU_obcA	1DIZM	rust-pathfinder-v0.1.0	-	lunatic-v0.1.0	-	L	P	-
g1_T-Du-7rgilkudS8wEq-lfFQr92Z5OpDNvlu9OeWKppA	s1_g5pGkHBMEhzAYvwFY0b24sSc7wC9JfnWApMHHZ_aMPI	1DIZM	rust-pathfinder-v0.1.0	-	lunatic-v0.1.0	-	L	P	-
g1_T-JMJj4LibtPQWwMXkp91G1oilqczwD1_JxWkRx9ZW0	s1_2FtaP75xgRVTNrUvmC0NIesJCNy8IDFJ05WNM4nUnpg	1unQmN	pathfinder-v0.3.0	-	qadv-arbiter-7x7-v0.1.0	-	L	P	196
