# state	action	visits	wins	losses	draws
10000W084.1W.A.C.D.G00.-.-.1.L.7	0b	1	1	0	0
10000W084.200001W.A.B.L.0.-.-.0.D.8	0G	1	0	1	0
10000WG.C000000.B.C.D.0.-.-.0.L.5	0b	1	1	0	0
10000WG.E000000.B.B.L.0.-.-.0.D.6	00	1	0	1	0
10000WG84.200001W.9.B.D.0.-.-.0.L.9	0a	1	1	0	0
10000WG84.300001W.9.A.L.0.-.-.0.D.A	0U	1	0	1	0
10000WH.E000000.A.B.D.0.-.-.0.L.7	0Z	1	1	0	0
1000100.80.C.D.D.0.-.-.0.L.3	0B	1	0	1	0
1000100.e0.C.C.L.0.-.-.0.D.4	0A	1	1	0	0
10001G0.20080.B.C.L.0.-.-.0.D.6	0B	1	1	0	0
10001G0.80.B.D.D.W0.-.-.1.L.5	0P	1	0	1	0
10001m0.20080.A.C.D.0.-.-.0.L.7	08	1	0	1	0
10001m0.200C0.A.B.L.0.-.-.0.D.8	03	1	1	0	0
10001m8.200C0.9.B.D.0.-.-.0.L.9	00	1	0	1	0
10001m8.200C1.9.A.L.0.-.-.0.D.A	0H	1	1	0	0
100040.G0.C.D.D.0.-.-.0.L.3	09	1	1	0	0
100040.O0.C.C.L.0.-.-.0.D.4	07	1	0	1	0
100060.O0.B.C.D.0.-.-.0.L.5	00	1	1	0	0
100060.O1.B.B.L.0.-.-.0.D.6	0E	1	0	1	0
1000800W.80080000.B.C.D.0.-.-.0.L.5	0S	1	0	1	0
1000800W.800O0000.B.B.L.0.-.-.0.D.6	0Z	1	1	0	0
1000G800.1C0000000.B.B.L.0.-.-.0.D.6	0Z	1	1	0	0
1000G800.C0000000.B.C.D.0.-.-.0.L.5	0m	1	0	1	0
1000Xm8.200C1.8.A.D.0.-.-.0.L.B	0Q	1	0	1	0
1000Xm8.600C1.8.9.L.0.-.-.0.D.C	0N	1	1	0	0
10010WG84.300001W.8.A.D.0.-.-.0.L.B	0i	1	1	0	0
10010WG84.4300001W.8.9.L.0.-.-.0.D.C	0X	1	0	1	0
10019SiI9.1X2W0Jf6.0.1.D.0.U.-.0.L.Z	0N	1	0	1	0
10019SiI9.1X2WWJf6.0.0.L.0.U.-.0.D.a	I0	1	1	0	0
1001BCiI9.1X2WWJf6.0.0.D.0.P.-.0.L.b	8I	1	0	1	0
1001BCiI9.1n2WWJX6.0.0.L.0.P.e.0.D.c	E8	1	1	0	0
1001BSCI9.1n2W0JX6.0.1.D.W000.M.e.1.L.d	0h	1	0	1	0
1001BSCI9.3n2W0JX6.0.0.L.0.M.-.0.D.e	3R	1	1	0	0
1001ByCI1.3n2W0JX6.0.0.D.0.N.-.0.L.f	Dc	1	0	1	0
1001ByCI1.3p2W03X6.0.0.L.0.N.b.0.D.g	8x	1	1	0	0
1001O422.4_00000.7.7.D.0.-.-.0.L.F	0S	1	1	0	0
1001O422.4_G0000.7.6.L.0.-.-.0.D.G	0T	1	0	1	0
10035HrWm.-00G02GD.0.3.D.0.-.-.0.L.T	0Y	1	0	1	0
10035HrWm.-0GG02GD.0.2.L.0.-.-.0.D.U	IG	1	1	0	0
100400.G0000.C.D.D.0.-.-.0.L.3	02	1	0	1	0
100400.G0004.C.C.L.0.-.-.0.D.4	04	1	1	0	0
100400.W00.C.D.D.0.-.-.0.L.3	07	1	0	1	0
100400.W20.C.C.L.0.-.-.0.D.4	00	1	1	0	0
1004000.80000.C.D.D.0.-.-.0.L.3	0Y	1	0	1	0
1004000.G80000.C.C.L.0.-.-.0.D.4	0T	1	1	0	0
100401.W00.B.D.D.20.-.-.1.L.5	0F	1	0	1	0
100401.e00.B.C.L.0.-.-.0.D.6	0G	1	1	0	0
10040G.G0004.B.C.D.0.-.-.0.L.5	0O	1	0	1	0
10040G.H0004.B.B.L.0.-.-.0.D.6	0M	1	1	0	0
10042336m.e0000WP7.3.5.D.0.-.-.0.L.N	0O	1	0	1	0
10042336m.e0010WP7.3.4.L.0.-.-.0.D.O	0N	1	1	0	0
10042Z36m.e0000WP7.2.5.D.10000.-.-.1.L.P	0X	1	0	1	0
10042Z36m.e0800WP7.2.4.L.0.-.-.0.D.Q	0V	1	1	0	0
100460.O1.A.B.D.0.-.-.0.L.7	01	1	1	0	0
100460.O3.A.A.L.0.-.-.0.D.8	0B	1	0	1	0
1004c0.O3.9.A.D.0.-.-.0.L.9	02	1	1	0	0
1004c0.O7.9.9.L.0.-.-.0.D.A	0C	1	0	1	0
1005ByC21.3p0W03X6.0.1.D.200000.W.b.1.L.h	0X	1	0	1	0
1005ByC21.3p8W03X6.0.0.L.0.W.-.0.D.i	Gi	1	1	0	0
1005c0.800O7.8.8.L.0.-.-.0.D.C	0F	1	0	1	0
1005c0.O7.8.9.D.0.-.-.0.L.B	0R	1	1	0	0
10062Z36m.e0800WP7.1.4.D.0.-.-.0.L.R	0O	1	0	1	0
10062Z36m.e0810WP7.1.3.L.0.-.-.0.D.S	0Q	1	1	0	0
100630y0Y.O61WQ1A0.3.2.D.0.-.-.0.L.P	0S	1	1	0	0
100630y0Y.O61mQ1A0.3.1.L.0.-.-.0.D.Q	0e	1	0	1	0
10066Z36m.e0810WP7.0.3.D.0.-.-.0.L.T	03	1	0	1	0
10066Z36m.e0810WPF.0.2.L.0.-.-.0.D.U	J0	1	1	0	0
10090WG84.4300001W.7.9.D.0.-.-.0.L.D	0Z	1	1	0	0
10090WG84.43W0001W.7.8.L.0.-.-.0.D.E	0Q	1	0	1	0
10094WG84.43W0001W.6.8.D.0.-.-.0.L.F	0c	1	1	0	0
10094WG84.47W0001W.6.7.L.0.-.-.0.D.G	0f	1	0	1	0
100Dc0.800O7.7.8.D.0.-.-.0.L.D	05	1	1	0	0
100Dc0.800Od.7.7.L.0.-.-.0.D.E	0I	1	0	1	0
100G0000.0.C.E.D.W00000.-.-.1.L.3	0E	1	1	0	0
100G0000.400.C.D.L.0.-.-.0.D.4	0L	1	0	1	0
100G8.400000W.B.C.L.0.-.-.0.D.6	0V	1	1	0	0
100G8.W.B.D.D.W00.-.-.1.L.5	0c	1	0	1	0
100G8000.400.B.D.D.0.-.-.0.L.5	0F	1	1	0	0
100G8000.C00.B.C.L.0.-.-.0.D.6	07	1	0	1	0
100G8020.800.A.D.D.400.-.-.1.L.7	0Z	1	1	0	0
100G8020.W00800.A.C.L.0.-.-.0.D.8	0E	1	0	1	0
100G8420.W00800.9.C.D.0.-.-.0.L.9	00	1	1	0	0
100G8420.W00801.9.B.L.0.-.-.0.D.A	0T	1	0	1	0
100G8C421.100WW310.6.8.D.0.-.-.0.L.F	0a	1	0	1	0
100G8C421.110WW310.6.7.L.0.-.-.0.D.G	0F	1	1	0	0
100G8CC21.110WW310.5.7.D.0.-.-.0.L.H	0B	1	0	1	0
100G8CC21.110WW3X0.5.6.L.0.-.-.0.D.I	0H	1	1	0	0
100G8Ci21.110WW3X0.4.6.D.0.-.-.0.L.J	0G	1	0	1	0
