# state	agent	action	depth	score	prior_nodes	visits	wins	losses	draws
100.8000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0Q	1	850	47	2	2	0	0
100.8000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0E	4	-25	11042	1	1	0	0
100.8000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0e	1	850	47	2	0	2	0
100.80000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	05	4	55	11570	1	1	0	0
100.8020.D.C.L.400.-.-.1.D.4	rust-pathfinder-v0.1.0	0J	4	-135	10541	1	1	0	0
100.G.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	05	4	110	9613	2	0	2	0
100.G00.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	05	4	55	10350	2	2	0	0
100.G000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0Q	1	850	47	1	1	0	0
100.G000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0J	4	55	10306	1	1	0	0
100.G0000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	02	4	-80	11189	1	0	1	0
100.G000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0Z	1	850	47	1	0	1	0
100.G000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0X	4	-185	17736	1	1	0	0
100.G040000.D.C.L.800000.-.-.1.D.4	rust-pathfinder-v0.1.0	0T	4	-430	15527	1	1	0	0
100.G05000.D.B.L.80000.-.-.1.D.6	rust-pathfinder-v0.1.0	0J	4	-520	16946	2	2	0	0
100.W.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	06	4	-110	13690	1	1	0	0
100.W0.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	05	4	55	13595	1	1	0	0
100.W00000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0e	1	850	47	1	0	1	0
100.W00000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	05	4	-130	11281	2	2	0	0
100.e000000.D.C.L.G000000.-.-.1.D.4	lunatic-v0.1.0	05	1	500	45	2	0	2	0
1000.10.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	04	1	850	47	1	0	1	0
1000.10000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0P	4	55	13596	2	2	0	0
1000.1000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0d	1	850	47	1	0	1	0
1000.1000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0e	4	-80	13220	1	1	0	0
1000.20000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0W	1	11350	47	1	0	1	0
1000.2000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0d	1	850	47	1	0	1	0
1000.2000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0e	4	-105	17006	1	1	0	0
1000.40000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	05	4	55	11363	1	1	0	0
1000.400000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0B	4	-25	16795	1	1	0	0
1000.4000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0d	1	850	47	1	0	1	0
1000.50000.D.C.L.20000.-.-.1.D.4	rust-pathfinder-v0.1.0	0M	4	-185	12262	2	2	0	0
